llueve paraguas
No No
Sí Sí
No No
Sí Sí
Sí Sí
No No
No No
Sí No
No No
No No
Sí Sí
No No
No No
No No
No Sí
Sí No
No No
No No
No No
Sí No
Sí Sí
No No
No No
Sí Sí
No No
Sí Sí
No No
No No
No No
No No
Sí No
Sí Sí
No No
Sí Sí
No No
No No
Sí No
No No
No No
No No
No No
No No
No No
No No
No No
No No
No No
No No
No No
Sí Sí
No No
No No
Sí Sí
No No
No No
No No
No No
Sí Sí
Sí No
No No
No No
No No
No No
No No
Sí Sí
No No
Sí Sí
Sí Sí
Sí Sí
No No
Sí Sí
No No
Sí Sí
No No
No No
No No
No No
No No
No No
No No
No No
No No
No No
Sí Sí
No Sí
No Sí
Sí No
Sí Sí
Sí Sí
No No
No No
No Sí
No No
No Sí
No No
No No
Sí Sí
No No
No No
No No
